team_name,player_name,region,player_id,team_id,player_id_mapped,player_known_flag,rookie_flag,data_available
trace esports,luok1ng,China,3045,12685,3045,1,0,yes
trace esports,fengf,China,4770,12685,4770,1,0,yes
trace esports,delb,China,10821,12685,10821,1,0,yes
trace esports,viva,China,36415,12685,36415,1,0,yes
trace esports,kai,China,13774,12685,37494,1,0,yes
tyloo,sword9,China,3049,731,3049,1,0,yes
tyloo,splash,China,UNKNOWN_PLAYER,731,,0,1,no
tyloo,scales,China,39485,731,39485,1,0,yes
tyloo,slowly,China,41739,731,41739,1,0,yes
tyloo,erv,China,UNKNOWN_PLAYER,731,,0,1,no
wolves esports,yosemite,China,6022,13790,6022,1,0,yes
wolves esports,siufatbb,China,7849,13790,7849,1,0,yes
wolves esports,spring,China,14125,13790,14125,1,0,yes
wolves esports,jowa,China,UNKNOWN_PLAYER,13790,,0,1,no
wolves esports,qiutian,China,UNKNOWN_PLAYER,13790,,0,1,no
xi lai gaming,noman,China,11527,13581,11527,1,0,yes
xi lai gaming,rarga,China,22047,13581,22047,1,0,yes
xi lai gaming,wsleo,China,24308,13581,,1,0,yes
xi lai gaming,lysoar,China,37489,13581,37489,1,0,yes
xi lai gaming,happywei,China,37927,13581,37927,1,0,yes
dragon ranger gaming,vo0kashu,China,3741,11981,3741,1,0,yes
dragon ranger gaming,flex1n,China,4705,11981,4705,1,0,yes
dragon ranger gaming,nicc,China,11524,11981,11524,1,0,yes
dragon ranger gaming,spiritz1,China,31753,11981,31753,1,0,yes
dragon ranger gaming,akeman,China,52904,11981,52904,1,0,yes
